id;semester;classification;pdf_file;pdf_file_content_type;comments
1;10577;enemy;../fake-data/blob/hipster.png;image/png;athwart
2;30951;wool blank;../fake-data/blob/hipster.png;image/png;accidentally
3;22753;psychoanalyst;../fake-data/blob/hipster.png;image/png;remake or caring
4;23515;unless gadzooks bah;../fake-data/blob/hipster.png;image/png;whereas
5;5530;best trivial hot;../fake-data/blob/hipster.png;image/png;enjoyment
6;16312;till;../fake-data/blob/hipster.png;image/png;among unfortunately
7;24746;diaphragm pro;../fake-data/blob/hipster.png;image/png;per
8;1881;beating;../fake-data/blob/hipster.png;image/png;rich incidentally aboard
9;24689;harmonious as;../fake-data/blob/hipster.png;image/png;sunbeam ack apud
10;5069;assurance;../fake-data/blob/hipster.png;image/png;until foot unless
